customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-5e1e66eb,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Credit card (automatic),51.11,1557.3,No
C-4e5aee3a,Female,0,No,No,56,Yes,No,DSL,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),31.4,1748.39,No
C-c332e65e,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,51.64,1888.59,Yes
C-bfae07ec,Male,1,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),44.53,564.01,Yes
C-66804b09,Female,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.72,952.63,No
C-d8ecf2c1,Female,1,No,No,46,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),44.9,2093.36,Yes
C-75aff5b9,Male,1,No,Yes,57,Yes,No phone service,DSL,No,No,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),40.61,2327.3,No
C-111780dc,Male,0,No,No,57,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Mailed check,39.85,2250.5,No
C-4618228b,Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,22.81,1297.54,No
C-641b396b,Male,1,Yes,Yes,22,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.46,473.9,No
C-40666328,Female,1,Yes,No,46,No,No phone service,DSL,No,No internet service,Yes,Yes,No,Yes,One year,Yes,Electronic check,40.6,1830.68,No
C-8b67d16e,Female,0,No,No,60,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.62,2879.84,Yes
C-598a447a,Female,0,Yes,No,63,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.64,2169.0,Yes
C-1f7ca0ee,Male,0,Yes,Yes,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.11,1331.36,No
C-93bc41ad,Male,0,No,Yes,25,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,65.04,1611.27,Yes
C-cd3242b9,Male,0,No,No,48,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),50.42,2415.02,Yes
C-9adf716a,Female,0,No,Yes,34,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Two year,No,Mailed check,30.91,1057.89,No
C-d2d7a48c,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),52.55,33.22,Yes
C-4e64efd9,Male,0,No,No,42,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),49.32,2088.46,No
C-23f6c492,Male,0,No,No,35,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Electronic check,43.65,1523.61,Yes
C-11a6839e,Female,1,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.24,152.93,No
C-9f5beb9c,Female,0,No,No,52,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,55.9,2924.62,No
C-4541558c,Male,1,Yes,No,6,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),37.17,229.59,No
C-de386b52,Male,1,Yes,No,58,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,39.07,2280.36,Yes
C-90cb01b8,Male,1,Yes,Yes,5,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,42.72,255.06,Yes
C-02bbbbc2,Female,0,No,No,46,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,801.29,No
C-ac347884,Female,0,Yes,No,26,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No internet service,Two year,No,Electronic check,31.4,788.02,No
C-5fc15b1f,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,58.4,3350.23,No
C-9e560f14,Female,0,No,No,67,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),26.62,1788.06,No
C-84560e2c,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.94,1053.77,No
C-2ca48a59,Male,0,Yes,No,17,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,35.81,630.44,No
C-1056077a,Female,0,Yes,No,11,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),36.87,406.65,No
C-cbae55a3,Female,0,Yes,No,12,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.8,274.14,Yes
C-c641f6f2,Male,0,Yes,No,5,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),43.74,224.76,Yes
C-fc8dac77,Male,0,No,Yes,70,Yes,No,DSL,No,No internet service,No,No,No,Yes,Two year,Yes,Credit card (automatic),31.84,2245.21,No
C-9e8387b4,Male,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.21,220.73,No
C-c6ca21a8,Female,1,No,No,7,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,35.73,246.97,Yes
C-334e22d1,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,50.2,2796.63,Yes
C-914a3002,Female,0,No,Yes,39,Yes,No phone service,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,48.06,1860.09,Yes
C-b5e88d25,Female,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,714.08,Yes
C-7898dbaa,Male,1,No,No,46,Yes,No,DSL,No,No,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),26.42,1239.88,Yes
C-65c065cc,Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.05,168.04,No
C-dc56faca,Female,0,No,No,68,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,46.39,3186.52,Yes
C-25d925e9,Female,0,Yes,No,55,Yes,Yes,DSL,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,28.28,1545.86,No
C-4b68e8bb,Female,0,Yes,No,20,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,37.41,732.18,No
C-7e730a4e,Male,1,Yes,No,51,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No internet service,No,One year,No,Electronic check,49.31,2511.43,No
C-1ab344fe,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),46.64,274.96,Yes
C-6f49dc2f,Male,0,Yes,Yes,72,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),26.9,1957.02,Yes
C-5c6296cd,Female,0,No,Yes,56,Yes,Yes,DSL,No,Yes,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),28.52,1597.4,Yes
C-55766dfd,Female,0,Yes,Yes,4,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),61.2,230.4,Yes
C-794f66e5,Male,1,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.41,553.01,Yes
C-88bf9bcb,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),50.03,2968.92,Yes
C-a4f1a1ad,Female,0,Yes,No,66,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,29.11,1934.08,No
C-11dbc13a,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,52.31,1609.52,Yes
C-5667bbb0,Female,1,No,No,3,No,No phone service,Fiber optic,No,Yes,No,No internet service,No,Yes,Two year,Yes,Credit card (automatic),52.91,127.17,Yes
C-f1742f1a,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.21,5.84,Yes
C-fb445175,Male,1,Yes,No,19,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,36.9,695.31,No
C-aa8579d4,Female,0,No,Yes,38,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),33.02,1262.73,Yes
C-0db9a001,Female,0,No,Yes,35,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,49.57,1726.51,Yes
C-7ffe31d5,Female,0,Yes,No,47,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),53.56,2465.84,Yes
C-e5f401a3,Male,0,No,Yes,66,No,No phone service,DSL,No internet service,No,No internet service,No,No,No,One year,Yes,Credit card (automatic),24.44,1585.48,No
C-c1c35cb2,Female,0,Yes,No,67,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),46.93,3193.32,No
C-22060900,Male,0,Yes,Yes,61,Yes,No,Fiber optic,Yes,No,No,No internet service,No,Yes,One year,No,Mailed check,51.39,3115.24,No
C-ff19997f,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,45.74,658.93,No
C-3bfe817d,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,59.91,1075.71,No
C-dddb451b,Male,0,Yes,No,55,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.08,987.04,No
C-8f453bdf,Female,0,No,No,25,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,50.94,1274.65,Yes
C-766d81ee,Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Month-to-month,No,Electronic check,56.32,1267.62,Yes
C-c794185f,Male,0,No,Yes,35,No,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,38.48,1335.17,No
C-79aca16d,Female,0,No,Yes,25,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,33.9,835.92,Yes
C-3260342b,Female,1,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,345.9,No
C-493d5473,Male,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.0,824.3,No
C-b7a72bb6,Male,0,Yes,No,69,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.49,1408.7,No
C-51db55b5,Female,0,No,No,63,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),41.91,2643.98,No
C-2961e577,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,37.11,118.6,No
C-a780a062,Male,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.7,565.19,Yes
C-1705024f,Male,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.88,766.19,No
C-d47f8567,Male,0,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),45.11,1204.76,No
C-9259b4d4,Female,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,No,Electronic check,46.56,681.92,Yes
C-52e5f515,Female,0,No,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,825.85,Yes
C-c1adf508,Male,0,Yes,No,42,Yes,Yes,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,39.91,1659.35,Yes
C-10b52049,Female,1,No,Yes,29,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),37.13,1085.17,Yes
C-6cb2ae8a,Male,1,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.41,23.45,Yes
C-e844c453,Male,0,No,No,44,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Two year,No,Electronic check,58.16,2515.05,Yes
C-d2c54c34,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),49.34,1840.04,No
C-cc085a5f,Male,0,No,No,48,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,49.43,2373.98,Yes
C-a9818c46,Female,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,54.58,1587.85,No
C-8a893160,Male,0,Yes,No,66,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),52.43,3486.88,Yes
C-557d5642,Female,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.01,756.85,No
C-eeb110c6,Female,0,No,No,35,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,48.84,1725.4,Yes
C-23e6e673,Female,1,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,67.22,1715.69,Yes
C-315692b1,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.65,887.93,No
C-825f8797,Male,0,No,Yes,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,37.9,1787.65,Yes
C-d595e8b1,Male,0,Yes,No,10,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),40.06,387.3,No
C-0e355582,Female,0,No,No,44,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),40.4,1787.68,Yes
C-b13d66ff,Female,0,No,Yes,63,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No,Two year,Yes,Mailed check,50.39,3161.02,No
C-93b9bcc1,Male,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.04,931.36,No
C-5a9706fc,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.83,899.3,No
C-137ef661,Female,0,No,No,41,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,Yes,One year,Yes,Electronic check,50.66,2042.84,Yes
C-4537e4c8,Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,One year,Yes,Credit card (automatic),47.63,3183.61,No
C-8eb31934,Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.89,577.98,Yes
C-2b36cc20,Female,0,No,Yes,56,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),40.37,2254.02,No
C-b8e70ca2,Female,0,No,Yes,2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),54.05,87.55,Yes
C-01725e8d,Female,0,Yes,Yes,31,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,38.84,1213.58,No
C-c89e1d6b,Female,0,No,No,71,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,53.61,3812.26,Yes
C-ad27668e,Female,0,No,Yes,27,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Month-to-month,No,Mailed check,58.23,1522.14,No
C-6b524429,Female,1,Yes,No,41,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,55.29,2252.59,Yes
C-d42448e5,Male,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,Two year,Yes,Mailed check,49.68,3152.13,No
C-9612a518,Female,0,No,No,47,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,39.48,1867.9,No
C-6c35dea6,Female,0,Yes,No,42,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No,Two year,No,Electronic check,48.66,2080.11,No
C-2daa2648,Male,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,54.27,1719.84,Yes
C-8d30ae46,Female,0,Yes,No,29,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,No,Two year,No,Credit card (automatic),52.54,1485.8,Yes
C-1572d0f9,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.54,96.16,Yes
C-7eac19b4,Male,0,Yes,Yes,17,Yes,No,DSL,Yes,No internet service,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),34.93,605.86,No
C-e2c93691,Male,1,Yes,Yes,62,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Two year,No,Mailed check,39.86,2492.63,No
C-133cd55e,Male,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.52,664.12,No
C-0127a56b,Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),58.31,484.78,No
C-8582f213,Female,1,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Two year,Yes,Mailed check,57.06,360.56,No
C-3dee9227,Male,0,No,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,329.81,No
C-f0e4c6c1,Female,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.78,520.54,No
C-f4c8d07e,Female,1,Yes,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,54.0,1818.81,Yes
C-fc3590b3,Male,0,Yes,No,64,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,51.65,3333.64,Yes
C-8dacf70d,Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),55.14,1213.62,No
C-d438d943,Male,1,No,No,47,Yes,No,DSL,No,Yes,No internet service,Yes,No,Yes,Two year,No,Electronic check,43.95,2034.66,No
C-f5e224d5,Male,0,Yes,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),22.28,1162.36,No
C-d833ee68,Male,0,Yes,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.83,350.8,No
C-8464e072,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,50.49,54.64,Yes
C-68fe44e1,Male,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,52.04,795.88,Yes
C-1a7a7b89,Female,0,Yes,No,59,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),31.24,1821.02,No
